Wall time,Step,Value
1705620481.2682822,999,5.002875328063965
1705620495.87567,1999,5.143472194671631
1705620511.6335502,2999,4.625063896179199
1705620528.584053,3999,4.779858112335205
1705620552.070384,4999,4.699317932128906
1705620576.638749,5999,3.63997220993042
1705620595.052423,6999,3.69741153717041
1705620615.281781,7999,3.712878704071045
1705620633.1794271,8999,3.8564469814300537
1705620652.5347269,9999,3.506253242492676
1705620671.246738,10999,3.5696980953216553
1705620688.9340339,11999,3.8536949157714844
1705620707.04937,12999,3.0868747234344482
1705620725.437098,13999,2.9952943325042725
1705620743.7251992,14999,3.185469627380371
1705620762.255689,15999,2.8853182792663574
1705620780.4423418,16999,3.2367467880249023
1705620796.166176,17999,3.1794018745422363
1705620813.372542,18999,2.5769243240356445
1705620828.428585,19999,2.9291164875030518
1705620843.704301,20999,3.111356019973755
1705620858.745585,21999,3.0026588439941406
1705620873.9935849,22999,2.9311203956604004
1705620890.290964,23999,2.972867965698242
1705620905.5814269,24999,2.93826961517334
1705620920.574285,25999,2.8083343505859375
1705620935.713145,26999,2.8315699100494385
1705620951.556221,27999,2.459254026412964
1705620966.981824,28999,2.7353057861328125
1705620982.903033,29999,2.8193140029907227
1705621000.665175,30999,2.6829605102539062
1705621017.813258,31999,2.5168635845184326
1705621034.299654,32999,2.5711610317230225
1705621050.111676,33999,2.440133571624756
1705621066.702249,34999,2.389667510986328
1705621082.853761,35999,2.4533045291900635
1705621100.363947,36999,2.4753315448760986
1705621117.091979,37999,2.7782418727874756
1705621133.2710772,38999,2.6141507625579834
1705621149.6105258,39999,2.294469118118286
1705621165.971766,40999,2.3764727115631104
1705621181.80639,41999,2.33248233795166
1705621197.803968,42999,2.52316951751709
1705621214.050984,43999,2.450629472732544
1705621230.907229,44999,2.355581283569336
